,city,date,gender,match_type,player of the match,team 1,team 2,team_1_batting_average,team_1_bowling_average,team_2_batting_average,team_2_bowling_average,toss_decision,toss_winner,umpire_1,umpire_2,venue,win_by_runs,win_by_wickets,winner
210,Kolkata,2011-04-30,male,T20,Iqbal Abdulla,Kings XI Punjab,Kolkata Knight Riders,10.333333333333334,46.63636363636363,33.775,27.488888888888887,field,Kolkata Knight Riders,AM Saheba,SL Shastri,Eden Gardens,0,8,Kolkata Knight Riders
211,Jaipur,2011-05-01,male,T20,LRPL Taylor,Pune Warriors,Rajasthan Royals,26.0,26.692307692307693,18.7,32.0,field,Rajasthan Royals,SK Tarapore,SJA Taufel,Sawai Mansingh Stadium,0,6,Rajasthan Royals
212,Chennai,2011-05-01,male,T20,JA Morkel,Chennai Super Kings,Deccan Chargers,19.0,22.818181818181817,11.0,15.136363636363637,bat,Chennai Super Kings,Aleem Dar,RB Tiffin,"MA Chidambaram Stadium, Chepauk",19,0,Chennai Super Kings
213,Mumbai,2011-05-02,male,T20,KA Pollard,Mumbai Indians,Kings XI Punjab,39.625,26.4,10.444444444444445,22.857142857142858,field,Kings XI Punjab,HDPK Dharmasena,PR Reiffel,Wankhede Stadium,23,0,Mumbai Indians
214,Delhi,2011-05-02,male,T20,P Parameswaran,Delhi Daredevils,Kochi Tuskers Kerala,15.222222222222221,26.36842105263158,21.7,27.132075471698112,field,Kochi Tuskers Kerala,Asad Rauf,SL Shastri,Feroz Shah Kotla,0,7,Kochi Tuskers Kerala
215,Hyderabad,2011-05-03,male,T20,YK Pathan,Kolkata Knight Riders,Deccan Chargers,26.74418604651163,25.756756756756758,21.444444444444443,48.30769230769231,field,Deccan Chargers,S Asnani,RJ Tucker,"Rajiv Gandhi International Stadium, Uppal",20,0,Kolkata Knight Riders
216,Chennai,2011-05-04,male,T20,MEK Hussey,Rajasthan Royals,Chennai Super Kings,22.5,16.454545454545453,59.111111111111114,26.95,bat,Rajasthan Royals,SS Hazare,RB Tiffin,"MA Chidambaram Stadium, Chepauk",0,8,Chennai Super Kings
217,Mumbai,2011-05-04,male,T20,R Sharma,Mumbai Indians,Pune Warriors,20.3125,27.833333333333332,8.833333333333334,23.761904761904763,field,Pune Warriors,HDPK Dharmasena,SJA Taufel,Dr DY Patil Sports Academy,21,0,Mumbai Indians
218,Kochi,2011-05-05,male,T20,BJ Hodge,Kochi Tuskers Kerala,Kolkata Knight Riders,30.363636363636363,48.833333333333336,28.071428571428573,26.67241379310345,field,Kolkata Knight Riders,S Ravi,RJ Tucker,Nehru Stadium,17,0,Kochi Tuskers Kerala
219,Hyderabad,2011-05-05,male,T20,V Sehwag,Deccan Chargers,Delhi Daredevils,16.444444444444443,32.8,17.285714285714285,35.166666666666664,field,Delhi Daredevils,Asad Rauf,AM Saheba,"Rajiv Gandhi International Stadium, Uppal",0,4,Delhi Daredevils
220,Bangalore,2011-05-06,male,T20,CH Gayle,Royal Challengers Bangalore,Kings XI Punjab,5.5,25.071428571428573,11.277777777777779,75.0,field,Kings XI Punjab,Aleem Dar,RB Tiffin,M Chinnaswamy Stadium,85,0,Royal Challengers Bangalore
221,Kolkata,2011-05-07,male,T20,Iqbal Abdulla,Chennai Super Kings,Kolkata Knight Riders,35.13793103448276,29.526315789473685,32.733333333333334,37.166666666666664,bat,Chennai Super Kings,Asad Rauf,PR Reiffel,Eden Gardens,10,0,Kolkata Knight Riders
222,Mumbai,2011-05-07,male,T20,AT Rayudu,Mumbai Indians,Delhi Daredevils,38.32,35.88,0.0,22.73913043478261,field,Delhi Daredevils,K Hariharan,SJA Taufel,Wankhede Stadium,32,0,Mumbai Indians
223,Bangalore,2011-05-08,male,T20,CH Gayle,Kochi Tuskers Kerala,Royal Challengers Bangalore,22.333333333333332,61.5,26.65,47.0,bat,Kochi Tuskers Kerala,Aleem Dar,SS Hazare,M Chinnaswamy Stadium,0,9,Royal Challengers Bangalore
224,Chandigarh,2011-05-08,male,T20,R Sharma,Kings XI Punjab,Pune Warriors,11.444444444444445,21.5,13.666666666666666,25.5,bat,Kings XI Punjab,SK Tarapore,RJ Tucker,"Punjab Cricket Association Stadium, Mohali",0,5,Pune Warriors
225,Jaipur,2011-05-09,male,T20,M Vijay,Chennai Super Kings,Rajasthan Royals,27.217391304347824,30.307692307692307,10.31578947368421,26.764705882352942,field,Rajasthan Royals,K Hariharan,SJA Taufel,Sawai Mansingh Stadium,63,0,Chennai Super Kings
226,Hyderabad,2011-05-10,male,T20,MR Marsh,Deccan Chargers,Pune Warriors,21.2,23.857142857142858,5.0,20.77777777777778,bat,Deccan Chargers,Asad Rauf,AM Saheba,"Rajiv Gandhi International Stadium, Uppal",0,6,Pune Warriors
227,Chandigarh,2011-05-10,male,T20,BA Bhatt,Kings XI Punjab,Mumbai Indians,5.0,16.25423728813559,7.4,18.22222222222222,field,Mumbai Indians,SK Tarapore,RJ Tucker,"Punjab Cricket Association Stadium, Mohali",76,0,Kings XI Punjab
228,Jaipur,2011-05-11,male,T20,S Aravind,Rajasthan Royals,Royal Challengers Bangalore,16.0,28.72093023255814,27.625,75.25,field,Royal Challengers Bangalore,HDPK Dharmasena,K Hariharan,Sawai Mansingh Stadium,0,9,Royal Challengers Bangalore
229,Chennai,2011-05-12,male,T20,MS Dhoni,Chennai Super Kings,Delhi Daredevils,39.24242424242424,27.618181818181817,15.25,16.5,bat,Chennai Super Kings,AM Saheba,SL Shastri,"MA Chidambaram Stadium, Chepauk",18,0,Chennai Super Kings
230,Indore,2011-05-13,male,T20,KD Karthik,Kochi Tuskers Kerala,Kings XI Punjab,8.277777777777779,25.35483870967742,23.833333333333332,30.606060606060606,field,Kings XI Punjab,S Asnani,RJ Tucker,Holkar Cricket Stadium,0,6,Kings XI Punjab
231,Bangalore,2011-05-14,male,T20,CH Gayle,Kolkata Knight Riders,Royal Challengers Bangalore,28.142857142857142,13.454545454545455,34.57692307692308,29.789473684210527,field,Royal Challengers Bangalore,RE Koertzen,RB Tiffin,M Chinnaswamy Stadium,0,4,Royal Challengers Bangalore
232,Mumbai,2011-05-14,male,T20,A Mishra,Deccan Chargers,Mumbai Indians,12.142857142857142,21.72,16.6875,9.0,bat,Deccan Chargers,S Ravi,SK Tarapore,Wankhede Stadium,10,0,Deccan Chargers
233,Dharamsala,2011-05-15,male,T20,PP Chawla,Kings XI Punjab,Delhi Daredevils,10.777777777777779,29.285714285714285,5.0,34.5,field,Delhi Daredevils,Asad Rauf,SL Shastri,Himachal Pradesh Cricket Association Stadium,29,0,Kings XI Punjab
234,Indore,2011-05-15,male,T20,BJ Hodge,Rajasthan Royals,Kochi Tuskers Kerala,0.0,34.25,21.575757575757574,39.5,field,Kochi Tuskers Kerala,PR Reiffel,RJ Tucker,Holkar Cricket Stadium,0,8,Kochi Tuskers Kerala
235,Mumbai,2011-05-16,male,T20,A Mishra,Pune Warriors,Deccan Chargers,12.0,22.93220338983051,20.636363636363637,24.25,field,Deccan Chargers,S Ravi,SK Tarapore,Dr DY Patil Sports Academy,0,6,Deccan Chargers
236,Dharamsala,2011-05-17,male,T20,AC Gilchrist,Kings XI Punjab,Royal Challengers Bangalore,23.0,15.307692307692308,4.0,31.714285714285715,bat,Kings XI Punjab,Asad Rauf,AM Saheba,Himachal Pradesh Cricket Association Stadium,111,0,Kings XI Punjab
237,Chennai,2011-05-18,male,T20,WP Saha,Chennai Super Kings,Kochi Tuskers Kerala,31.272727272727273,25.609375,31.708333333333332,17.333333333333332,bat,Chennai Super Kings,HDPK Dharmasena,RE Koertzen,"MA Chidambaram Stadium, Chepauk",11,0,Chennai Super Kings
238,Mumbai,2011-05-19,male,T20,YK Pathan,Pune Warriors,Kolkata Knight Riders,18.0,28.475,7.090909090909091,5.0,field,Kolkata Knight Riders,S Ravi,SJA Taufel,Dr DY Patil Sports Academy,0,7,Kolkata Knight Riders
239,Mumbai,2011-05-20,male,T20,SR Watson,Mumbai Indians,Rajasthan Royals,17.0,25.70175438596491,27.57777777777778,54.0,bat,Mumbai Indians,RE Koertzen,PR Reiffel,Wankhede Stadium,0,10,Rajasthan Royals
240,Dharamsala,2011-05-21,male,T20,S Dhawan,Deccan Chargers,Kings XI Punjab,20.46153846153846,24.305555555555557,13.588235294117647,16.666666666666668,field,Kings XI Punjab,Asad Rauf,AM Saheba,Himachal Pradesh Cricket Association Stadium,82,0,Deccan Chargers
241,Bangalore,2011-05-22,male,T20,CH Gayle,Chennai Super Kings,Royal Challengers Bangalore,40.411764705882355,65.2,46.38095238095238,31.764705882352942,field,Royal Challengers Bangalore,K Hariharan,RE Koertzen,M Chinnaswamy Stadium,0,8,Royal Challengers Bangalore
242,Kolkata,2011-05-22,male,T20,JEC Franklin,Kolkata Knight Riders,Mumbai Indians,7.416666666666667,37.0,29.56,29.121951219512194,field,Mumbai Indians,SK Tarapore,SJA Taufel,Eden Gardens,0,5,Mumbai Indians
243,Mumbai,2011-05-24,male,T20,SK Raina,Royal Challengers Bangalore,Chennai Super Kings,28.651162790697676,18.857142857142858,28.0,30.0,field,Chennai Super Kings,Asad Rauf,SJA Taufel,Wankhede Stadium,0,6,Chennai Super Kings
244,Mumbai,2011-05-25,male,T20,MM Patel,Kolkata Knight Riders,Mumbai Indians,53.5,25.791666666666668,18.176470588235293,16.09090909090909,field,Mumbai Indians,Asad Rauf,SJA Taufel,Wankhede Stadium,0,4,Mumbai Indians
245,Chennai,2011-05-27,male,T20,CH Gayle,Royal Challengers Bangalore,Mumbai Indians,33.275862068965516,17.81967213114754,5.0,64.0,field,Mumbai Indians,Asad Rauf,SJA Taufel,"MA Chidambaram Stadium, Chepauk",43,0,Royal Challengers Bangalore
246,Chennai,2011-05-28,male,T20,M Vijay,Chennai Super Kings,Royal Challengers Bangalore,21.272727272727273,43.15384615384615,25.8,32.72222222222222,bat,Chennai Super Kings,Asad Rauf,SJA Taufel,"MA Chidambaram Stadium, Chepauk",58,0,Chennai Super Kings
247,Chennai,2012-04-04,male,T20,RE Levi,Chennai Super Kings,Mumbai Indians,21.0,17.50793650793651,28.48148148148148,19.06451612903226,field,Mumbai Indians,JD Cloete,SJA Taufel,"MA Chidambaram Stadium, Chepauk",0,8,Mumbai Indians
248,Kolkata,2012-04-05,male,T20,IK Pathan,Kolkata Knight Riders,Delhi Daredevils,8.75,22.88888888888889,24.84375,24.785714285714285,field,Delhi Daredevils,S Asnani,HDPK Dharmasena,Eden Gardens,0,8,Delhi Daredevils
249,Mumbai,2012-04-06,male,T20,SPD Smith,Pune Warriors,Mumbai Indians,16.5,20.859649122807017,7.6,25.580645161290324,field,Mumbai Indians,AK Chaudhary,SJA Taufel,Wankhede Stadium,28,0,Pune Warriors
250,Jaipur,2012-04-06,male,T20,AM Rahane,Rajasthan Royals,Kings XI Punjab,5.0,21.5,5.0,18.31578947368421,field,Kings XI Punjab,BF Bowden,SK Tarapore,Sawai Mansingh Stadium,31,0,Rajasthan Royals
251,Bangalore,2012-04-07,male,T20,AB de Villiers,Royal Challengers Bangalore,Delhi Daredevils,0.0,10.666666666666666,14.75,29.30952380952381,field,Delhi Daredevils,S Asnani,S Ravi,M Chinnaswamy Stadium,20,0,Royal Challengers Bangalore
252,Visakhapatnam,2012-04-07,male,T20,RA Jadeja,Chennai Super Kings,Deccan Chargers,23.043478260869566,31.925925925925927,15.0,18.545454545454547,field,Deccan Chargers,JD Cloete,HDPK Dharmasena,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,74,0,Chennai Super Kings
253,Jaipur,2012-04-08,male,T20,BJ Hodge,Rajasthan Royals,Kolkata Knight Riders,44.5,24.764705882352942,33.391304347826086,35.36363636363637,field,Kolkata Knight Riders,BF Bowden,VA Kulkarni,Sawai Mansingh Stadium,22,0,Rajasthan Royals
254,Pune,2012-04-08,male,T20,MN Samuels,Pune Warriors,Kings XI Punjab,7.571428571428571,24.666666666666668,42.5,22.5,bat,Pune Warriors,S Das,SJA Taufel,Subrata Roy Sahara Stadium,22,0,Pune Warriors
255,Visakhapatnam,2012-04-09,male,T20,RG Sharma,Deccan Chargers,Mumbai Indians,8.0,24.066666666666666,31.686274509803923,30.928571428571427,bat,Deccan Chargers,AK Chaudhary,JD Cloete,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,5,Mumbai Indians
256,Bangalore,2012-04-10,male,T20,L Balaji,Kolkata Knight Riders,Royal Challengers Bangalore,7.333333333333333,56.0,9.6,15.307692307692308,field,Royal Challengers Bangalore,S Ravi,RJ Tucker,M Chinnaswamy Stadium,42,0,Kolkata Knight Riders
257,Delhi,2012-04-10,male,T20,M Morkel,Chennai Super Kings,Delhi Daredevils,26.192307692307693,25.7,32.111111111111114,21.5,field,Delhi Daredevils,Asad Rauf,SK Tarapore,Feroz Shah Kotla,0,8,Delhi Daredevils
258,Mumbai,2012-04-11,male,T20,KA Pollard,Mumbai Indians,Rajasthan Royals,18.736842105263158,12.5,2.0,19.046153846153846,field,Rajasthan Royals,Aleem Dar,BNJ Oxenford,Wankhede Stadium,27,0,Mumbai Indians
259,Chennai,2012-04-12,male,T20,F du Plessis,Royal Challengers Bangalore,Chennai Super Kings,9.9,18.166666666666668,26.033333333333335,29.0,bat,Royal Challengers Bangalore,HDPK Dharmasena,RJ Tucker,"MA Chidambaram Stadium, Chepauk",0,5,Chennai Super Kings
260,Chandigarh,2012-04-12,male,T20,AD Mascarenhas,Pune Warriors,Kings XI Punjab,14.5,5.0,14.631578947368421,36.0,field,Kings XI Punjab,VA Kulkarni,SK Tarapore,"Punjab Cricket Association Stadium, Mohali",0,7,Kings XI Punjab
261,Kolkata,2012-04-13,male,T20,Shakib Al Hasan,Rajasthan Royals,Kolkata Knight Riders,32.23076923076923,27.933333333333334,39.0,31.8,bat,Rajasthan Royals,Asad Rauf,S Asnani,Eden Gardens,0,5,Kolkata Knight Riders
262,Delhi,2012-04-19,male,T20,KP Pietersen,Deccan Chargers,Delhi Daredevils,8.5,23.347826086956523,47.5,64.0,bat,Deccan Chargers,BF Bowden,SK Tarapore,Feroz Shah Kotla,0,5,Delhi Daredevils
263,Pune,2012-04-14,male,T20,JD Ryder,Chennai Super Kings,Pune Warriors,24.25,23.025641025641026,40.333333333333336,23.789473684210527,bat,Chennai Super Kings,Aleem Dar,BNJ Oxenford,Subrata Roy Sahara Stadium,0,7,Pune Warriors
264,Kolkata,2012-04-15,male,T20,SP Narine,Kings XI Punjab,Kolkata Knight Riders,6.0,11.833333333333334,21.0,25.238095238095237,field,Kolkata Knight Riders,Asad Rauf,S Asnani,Eden Gardens,2,0,Kings XI Punjab
265,Bangalore,2012-04-15,male,T20,AM Rahane,Rajasthan Royals,Royal Challengers Bangalore,29.333333333333332,30.133333333333333,4.0,18.5,bat,Rajasthan Royals,JD Cloete,RJ Tucker,M Chinnaswamy Stadium,59,0,Rajasthan Royals
266,Mumbai,2012-04-16,male,T20,S Nadeem,Mumbai Indians,Delhi Daredevils,1.125,36.285714285714285,31.391304347826086,22.705882352941178,field,Delhi Daredevils,BF Bowden,SK Tarapore,Wankhede Stadium,0,7,Delhi Daredevils
267,Jaipur,2012-04-17,male,T20,BJ Hodge,Deccan Chargers,Rajasthan Royals,31.84,20.615384615384617,25.0,23.916666666666668,bat,Deccan Chargers,Aleem Dar,BNJ Oxenford,Sawai Mansingh Stadium,0,5,Rajasthan Royals
268,Bangalore,2012-04-17,male,T20,CH Gayle,Pune Warriors,Royal Challengers Bangalore,21.27777777777778,29.574468085106382,25.0,23.8,bat,Pune Warriors,S Asnani,S Das,M Chinnaswamy Stadium,0,6,Royal Challengers Bangalore
269,Chandigarh,2012-04-18,male,T20,G Gambhir,Kings XI Punjab,Kolkata Knight Riders,15.0,11.875,31.11320754716981,26.727272727272727,bat,Kings XI Punjab,JD Cloete,RJ Tucker,"Punjab Cricket Association Stadium, Mohali",0,8,Kolkata Knight Riders
270,Hyderabad,2012-05-10,male,T20,DA Warner,Deccan Chargers,Delhi Daredevils,32.36,28.25,23.485714285714284,90.0,bat,Deccan Chargers,JD Cloete,SJA Taufel,"Rajiv Gandhi International Stadium, Uppal",0,9,Delhi Daredevils
271,Chennai,2012-04-19,male,T20,KMDN Kulasekara,Chennai Super Kings,Pune Warriors,26.0,24.166666666666668,5.0,29.02857142857143,field,Pune Warriors,Asad Rauf,S Das,"MA Chidambaram Stadium, Chepauk",13,0,Chennai Super Kings
272,Chandigarh,2012-04-20,male,T20,CH Gayle,Kings XI Punjab,Royal Challengers Bangalore,15.35,29.791666666666668,38.0,5.0,field,Royal Challengers Bangalore,S Ravi,RJ Tucker,"Punjab Cricket Association Stadium, Mohali",0,5,Royal Challengers Bangalore
273,Chennai,2012-04-21,male,T20,F du Plessis,Rajasthan Royals,Chennai Super Kings,45.44444444444444,23.25,37.951219512195124,5.0,bat,Rajasthan Royals,Aleem Dar,BNJ Oxenford,"MA Chidambaram Stadium, Chepauk",0,7,Chennai Super Kings
274,Delhi,2012-04-21,male,T20,SC Ganguly,Pune Warriors,Delhi Daredevils,27.545454545454547,22.137931034482758,23.8,21.785714285714285,field,Delhi Daredevils,Asad Rauf,S Das,Feroz Shah Kotla,20,0,Pune Warriors
275,Mumbai,2012-04-22,male,T20,SE Marsh,Mumbai Indians,Kings XI Punjab,13.5,13.0,13.0,76.0,bat,Mumbai Indians,S Ravi,RJ Tucker,Wankhede Stadium,0,6,Kings XI Punjab
276,Cuttack,2012-04-22,male,T20,B Lee,Deccan Chargers,Kolkata Knight Riders,33.0,12.2,32.46153846153846,35.111111111111114,field,Kolkata Knight Riders,BF Bowden,SK Tarapore,Barabati Stadium,0,5,Kolkata Knight Riders
277,Jaipur,2012-04-23,male,T20,AB de Villiers,Royal Challengers Bangalore,Rajasthan Royals,28.129032258064516,16.5,7.5,33.2,field,Rajasthan Royals,Asad Rauf,S Asnani,Sawai Mansingh Stadium,46,0,Royal Challengers Bangalore
278,Pune,2012-04-24,male,T20,V Sehwag,Pune Warriors,Delhi Daredevils,27.535714285714285,22.666666666666668,30.074074074074073,23.142857142857142,bat,Pune Warriors,S Ravi,RJ Tucker,Subrata Roy Sahara Stadium,0,8,Delhi Daredevils
279,Chandigarh,2012-04-25,male,T20,AT Rayudu,Kings XI Punjab,Mumbai Indians,47.0,20.6,29.233333333333334,46.5,bat,Kings XI Punjab,Aleem Dar,BNJ Oxenford,"Punjab Cricket Association Stadium, Mohali",0,4,Mumbai Indians
280,Pune,2012-04-26,male,T20,CL White,Deccan Chargers,Pune Warriors,13.666666666666666,25.214285714285715,12.0,32.857142857142854,bat,Deccan Chargers,S Ravi,RJ Tucker,Subrata Roy Sahara Stadium,18,0,Deccan Chargers
281,Delhi,2012-04-27,male,T20,V Sehwag,Delhi Daredevils,Mumbai Indians,45.61538461538461,26.28358208955224,3.5714285714285716,34.9375,field,Mumbai Indians,Aleem Dar,BNJ Oxenford,Feroz Shah Kotla,37,0,Delhi Daredevils
282,Chennai,2012-04-28,male,T20,Mandeep Singh,Kings XI Punjab,Chennai Super Kings,10.227272727272727,24.4,6.444444444444445,23.8,bat,Kings XI Punjab,BF Bowden,SK Tarapore,"MA Chidambaram Stadium, Chepauk",7,0,Kings XI Punjab
283,Kolkata,2012-04-28,male,T20,G Gambhir,Kolkata Knight Riders,Royal Challengers Bangalore,24.62962962962963,30.0,9.952380952380953,26.23076923076923,bat,Kolkata Knight Riders,Asad Rauf,BR Doctrove,Eden Gardens,47,0,Kolkata Knight Riders
284,Delhi,2012-04-29,male,T20,V Sehwag,Delhi Daredevils,Rajasthan Royals,23.5,22.25,32.57142857142857,37.125,bat,Delhi Daredevils,S Ravi,RJ Tucker,Feroz Shah Kotla,1,0,Delhi Daredevils
285,Mumbai,2012-04-29,male,T20,DW Steyn,Deccan Chargers,Mumbai Indians,0.0,15.921052631578947,30.903225806451612,24.0,field,Mumbai Indians,AK Chaudhary,BNJ Oxenford,Wankhede Stadium,0,5,Mumbai Indians
286,Chennai,2012-04-30,male,T20,G Gambhir,Chennai Super Kings,Kolkata Knight Riders,26.178571428571427,13.166666666666666,23.5,23.575,bat,Chennai Super Kings,BF Bowden,C Shamshuddin,"MA Chidambaram Stadium, Chepauk",0,5,Kolkata Knight Riders
287,Cuttack,2012-05-01,male,T20,KC Sangakkara,Deccan Chargers,Pune Warriors,35.2,24.09090909090909,17.714285714285715,42.333333333333336,bat,Deccan Chargers,Aleem Dar,AK Chaudhary,Barabati Stadium,13,0,Deccan Chargers
288,Jaipur,2012-05-01,male,T20,P Negi,Rajasthan Royals,Delhi Daredevils,17.0,36.588235294117645,23.88888888888889,48.0,bat,Rajasthan Royals,JD Cloete,SJA Taufel,Sawai Mansingh Stadium,0,6,Delhi Daredevils
289,Bangalore,2012-05-02,male,T20,Azhar Mahmood,Royal Challengers Bangalore,Kings XI Punjab,8.75,17.375,14.904761904761905,30.64,field,Kings XI Punjab,BF Bowden,C Shamshuddin,M Chinnaswamy Stadium,0,4,Kings XI Punjab
290,Pune,2012-05-03,male,T20,SL Malinga,Mumbai Indians,Pune Warriors,24.630434782608695,25.818181818181817,22.0,20.70149253731343,bat,Mumbai Indians,Asad Rauf,S Asnani,Subrata Roy Sahara Stadium,1,0,Mumbai Indians
291,Chennai,2012-05-04,male,T20,SK Raina,Chennai Super Kings,Deccan Chargers,24.59259259259259,33.0,16.5,31.0,bat,Chennai Super Kings,HDPK Dharmasena,BNJ Oxenford,"MA Chidambaram Stadium, Chepauk",10,0,Chennai Super Kings
292,Kolkata,2012-05-05,male,T20,SP Narine,Kolkata Knight Riders,Pune Warriors,32.0,29.545454545454547,33.0,23.666666666666668,bat,Kolkata Knight Riders,BF Bowden,SK Tarapore,Eden Gardens,7,0,Kolkata Knight Riders
293,Chandigarh,2012-05-05,male,T20,SR Watson,Rajasthan Royals,Kings XI Punjab,21.666666666666668,22.682926829268293,10.545454545454545,27.5,bat,Rajasthan Royals,JD Cloete,SJA Taufel,"Punjab Cricket Association Stadium, Mohali",43,0,Rajasthan Royals
294,Mumbai,2012-05-06,male,T20,DR Smith,Chennai Super Kings,Mumbai Indians,5.8,15.555555555555555,23.53846153846154,21.666666666666668,field,Mumbai Indians,Asad Rauf,S Asnani,Wankhede Stadium,0,2,Mumbai Indians
295,Bangalore,2012-05-06,male,T20,AB de Villiers,Deccan Chargers,Royal Challengers Bangalore,29.18867924528302,36.8,5.0,27.166666666666668,field,Royal Challengers Bangalore,HDPK Dharmasena,BNJ Oxenford,M Chinnaswamy Stadium,0,5,Royal Challengers Bangalore
296,Delhi,2012-05-07,male,T20,JH Kallis,Delhi Daredevils,Kolkata Knight Riders,0.0,13.2,24.285714285714285,28.0,bat,Delhi Daredevils,JD Cloete,S Ravi,Feroz Shah Kotla,0,6,Kolkata Knight Riders
297,Pune,2012-05-08,male,T20,SR Watson,Pune Warriors,Rajasthan Royals,8.833333333333334,20.227272727272727,41.51851851851852,5.0,bat,Pune Warriors,Asad Rauf,BR Doctrove,Subrata Roy Sahara Stadium,0,7,Rajasthan Royals
298,Hyderabad,2012-05-08,male,T20,Mandeep Singh,Kings XI Punjab,Deccan Chargers,47.0,24.5,10.941176470588236,25.875,field,Deccan Chargers,HDPK Dharmasena,BNJ Oxenford,"Rajiv Gandhi International Stadium, Uppal",25,0,Kings XI Punjab
299,Mumbai,2012-05-09,male,T20,CH Gayle,Mumbai Indians,Royal Challengers Bangalore,19.413793103448278,30.115384615384617,27.490909090909092,29.785714285714285,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,0,9,Royal Challengers Bangalore
300,Jaipur,2012-05-10,male,T20,BW Hilfenhaus,Rajasthan Royals,Chennai Super Kings,35.0,29.70731707317073,22.0,21.136363636363637,field,Chennai Super Kings,BNJ Oxenford,C Shamshuddin,Sawai Mansingh Stadium,0,4,Chennai Super Kings
301,Pune,2012-05-11,male,T20,CH Gayle,Royal Challengers Bangalore,Pune Warriors,35.666666666666664,28.5,40.625,29.072727272727274,field,Pune Warriors,BF Bowden,SK Tarapore,Subrata Roy Sahara Stadium,35,0,Royal Challengers Bangalore
302,Kolkata,2012-05-12,male,T20,RG Sharma,Mumbai Indians,Kolkata Knight Riders,32.4,40.8,26.0,38.25,bat,Mumbai Indians,S Ravi,SJA Taufel,Eden Gardens,27,0,Mumbai Indians
303,Chennai,2012-05-12,male,T20,BW Hilfenhaus,Delhi Daredevils,Chennai Super Kings,20.357142857142858,30.24390243902439,34.33870967741935,33.6,field,Chennai Super Kings,S Das,BR Doctrove,"MA Chidambaram Stadium, Chepauk",0,9,Chennai Super Kings
304,Jaipur,2012-05-13,male,T20,A Chandila,Rajasthan Royals,Pune Warriors,24.5,36.266666666666666,19.0,55.0,bat,Rajasthan Royals,BF Bowden,SK Tarapore,Sawai Mansingh Stadium,45,0,Rajasthan Royals
305,Chandigarh,2012-05-13,male,T20,DJ Hussey,Deccan Chargers,Kings XI Punjab,33.77272727272727,24.6,52.0,33.10344827586207,bat,Deccan Chargers,HDPK Dharmasena,BNJ Oxenford,"Punjab Cricket Association Stadium, Mohali",0,4,Kings XI Punjab
306,Bangalore,2012-05-14,male,T20,AT Rayudu,Royal Challengers Bangalore,Mumbai Indians,21.470588235294116,22.028985507246375,21.20689655172414,48.30769230769231,field,Mumbai Indians,S Das,BR Doctrove,M Chinnaswamy Stadium,0,5,Mumbai Indians
307,Kolkata,2012-05-14,male,T20,MEK Hussey,Kolkata Knight Riders,Chennai Super Kings,28.375,14.666666666666666,25.0,27.864864864864863,field,Chennai Super Kings,JD Cloete,SJA Taufel,Eden Gardens,0,5,Chennai Super Kings
308,Delhi,2012-05-15,male,T20,UT Yadav,Kings XI Punjab,Delhi Daredevils,5.0,26.714285714285715,30.886363636363637,28.0,bat,Kings XI Punjab,HDPK Dharmasena,BNJ Oxenford,Feroz Shah Kotla,0,5,Delhi Daredevils
309,Mumbai,2012-05-16,male,T20,SP Narine,Kolkata Knight Riders,Mumbai Indians,9.0,25.675675675675677,3.4,12.19047619047619,field,Mumbai Indians,S Das,BR Doctrove,Wankhede Stadium,32,0,Kolkata Knight Riders
310,Dharamsala,2012-05-17,male,T20,AC Gilchrist,Chennai Super Kings,Kings XI Punjab,5.8,23.61904761904762,21.428571428571427,28.246153846153845,field,Kings XI Punjab,VA Kulkarni,SK Tarapore,Himachal Pradesh Cricket Association Stadium,0,6,Kings XI Punjab
311,Delhi,2012-05-17,male,T20,CH Gayle,Royal Challengers Bangalore,Delhi Daredevils,28.017543859649123,28.125,2.0,26.75,field,Delhi Daredevils,HDPK Dharmasena,C Shamshuddin,Feroz Shah Kotla,21,0,Royal Challengers Bangalore
312,Hyderabad,2012-05-18,male,T20,DW Steyn,Rajasthan Royals,Deccan Chargers,5.0,30.444444444444443,10.333333333333334,22.82608695652174,bat,Rajasthan Royals,S Ravi,SJA Taufel,"Rajiv Gandhi International Stadium, Uppal",0,5,Deccan Chargers
313,Dharamsala,2012-05-19,male,T20,UT Yadav,Kings XI Punjab,Delhi Daredevils,10.565217391304348,30.36,22.925,23.642857142857142,field,Delhi Daredevils,BF Bowden,VA Kulkarni,Himachal Pradesh Cricket Association Stadium,0,6,Delhi Daredevils
314,Pune,2012-05-19,male,T20,Shakib Al Hasan,Kolkata Knight Riders,Pune Warriors,25.385964912280702,25.357142857142858,5.0,12.318181818181818,bat,Kolkata Knight Riders,S Asnani,BR Doctrove,Subrata Roy Sahara Stadium,34,0,Kolkata Knight Riders
315,Hyderabad,2012-05-20,male,T20,DW Steyn,Deccan Chargers,Royal Challengers Bangalore,8.75,27.75409836065574,5.0,21.636363636363637,field,Royal Challengers Bangalore,S Ravi,SJA Taufel,"Rajiv Gandhi International Stadium, Uppal",9,0,Deccan Chargers
