,city,date,gender,match_type,player of the match,team 1,team 2,team_1_batting_average,team_1_bowling_average,team_2_batting_average,team_2_bowling_average,toss_decision,toss_winner,umpire_1,umpire_2,venue,win_by_runs,win_by_wickets,winner
38,Delhi,2008-05-15,male,T20,A Mishra,Delhi Daredevils,Deccan Chargers,34.0,34.77777777777778,5.0,8.285714285714286,field,Deccan Chargers,BG Jerling,GA Pratapkumar,Feroz Shah Kotla,12,0,Delhi Daredevils
39,Mumbai,2008-05-16,male,T20,SM Pollock,Kolkata Knight Riders,Mumbai Indians,2.0,20.5,44.25,43.333333333333336,field,Mumbai Indians,BR Doctrove,DJ Harper,Wankhede Stadium,0,8,Mumbai Indians
40,Delhi,2008-05-17,male,T20,DPMD Jayawardene,Delhi Daredevils,Kings XI Punjab,13.0,38.0,29.0,23.0,bat,Delhi Daredevils,AV Jayaprakash,RE Koertzen,Feroz Shah Kotla,6,0,Kings XI Punjab
41,Jaipur,2008-05-17,male,T20,GC Smith,Rajasthan Royals,Royal Challengers Bangalore,59.166666666666664,48.5,28.9,5.0,field,Royal Challengers Bangalore,BF Bowden,SL Shastri,Sawai Mansingh Stadium,65,0,Rajasthan Royals
42,Hyderabad,2008-05-18,male,T20,DJ Bravo,Mumbai Indians,Deccan Chargers,23.0,29.0,11.0,24.636363636363637,field,Deccan Chargers,BR Doctrove,DJ Harper,"Rajiv Gandhi International Stadium, Uppal",25,0,Mumbai Indians
43,Kolkata,2008-05-18,male,T20,M Ntini,Kolkata Knight Riders,Chennai Super Kings,33.75,13.375,21.666666666666668,22.375,bat,Kolkata Knight Riders,Asad Rauf,K Hariharan,Eden Gardens,3,0,Chennai Super Kings
44,Bangalore,2008-05-19,male,T20,SP Goswami,Royal Challengers Bangalore,Delhi Daredevils,22.0,30.833333333333332,44.0,67.0,field,Delhi Daredevils,SJ Davis,GA Pratapkumar,M Chinnaswamy Stadium,0,5,Delhi Daredevils
45,Kolkata,2008-05-20,male,T20,YK Pathan,Kolkata Knight Riders,Rajasthan Royals,11.0,12.142857142857142,32.6,21.75,field,Rajasthan Royals,BG Jerling,RE Koertzen,Eden Gardens,0,6,Rajasthan Royals
46,Mumbai,2008-05-21,male,T20,SE Marsh,Kings XI Punjab,Mumbai Indians,5.0,27.727272727272727,2.0,42.75,field,Mumbai Indians,BF Bowden,GA Pratapkumar,Wankhede Stadium,1,0,Kings XI Punjab
47,Chennai,2008-05-21,male,T20,A Kumble,Royal Challengers Bangalore,Chennai Super Kings,6.5,31.555555555555557,11.0,44.0,bat,Royal Challengers Bangalore,DJ Harper,I Shivram,"MA Chidambaram Stadium, Chepauk",14,0,Royal Challengers Bangalore
48,Chandigarh,2008-05-23,male,T20,SE Marsh,Deccan Chargers,Kings XI Punjab,22.5,42.55555555555556,39.0,32.166666666666664,field,Kings XI Punjab,Asad Rauf,SJ Davis,"Punjab Cricket Association Stadium, Mohali",0,6,Kings XI Punjab
49,Delhi,2008-05-24,male,T20,KD Karthik,Mumbai Indians,Delhi Daredevils,39.625,23.571428571428573,23.8,27.916666666666668,field,Delhi Daredevils,BF Bowden,K Hariharan,Feroz Shah Kotla,0,5,Delhi Daredevils
50,Chennai,2008-05-24,male,T20,JA Morkel,Rajasthan Royals,Chennai Super Kings,5.0,45.75,0.0,11.941176470588236,bat,Rajasthan Royals,DJ Harper,SL Shastri,"MA Chidambaram Stadium, Chepauk",10,0,Rajasthan Royals
51,Bangalore,2008-05-03,male,T20,P Kumar,Royal Challengers Bangalore,Deccan Chargers,28.53846153846154,61.666666666666664,12.25,44.857142857142854,field,Deccan Chargers,BR Doctrove,SL Shastri,M Chinnaswamy Stadium,3,0,Royal Challengers Bangalore
52,Kolkata,2008-05-25,male,T20,Umar Gul,Kings XI Punjab,Kolkata Knight Riders,8.0,16.5,29.083333333333332,24.071428571428573,bat,Kings XI Punjab,SJ Davis,I Shivram,Eden Gardens,0,3,Kolkata Knight Riders
53,Jaipur,2008-05-26,male,T20,Sohail Tanvir,Mumbai Indians,Rajasthan Royals,35.0,27.23076923076923,101.0,16.4,field,Rajasthan Royals,BF Bowden,K Hariharan,Sawai Mansingh Stadium,0,5,Rajasthan Royals
54,Hyderabad,2008-05-27,male,T20,SK Raina,Deccan Chargers,Chennai Super Kings,6.75,20.181818181818183,32.3,51.25,bat,Deccan Chargers,BG Jerling,AM Saheba,"Rajiv Gandhi International Stadium, Uppal",0,7,Chennai Super Kings
55,Mumbai,2008-05-30,male,T20,SR Watson,Rajasthan Royals,Delhi Daredevils,5.0,38.375,1.5,5.0,field,Delhi Daredevils,BF Bowden,RE Koertzen,Wankhede Stadium,105,0,Rajasthan Royals
56,Mumbai,2008-05-31,male,T20,M Ntini,Kings XI Punjab,Chennai Super Kings,5.0,22.818181818181817,37.8,23.294117647058822,bat,Kings XI Punjab,Asad Rauf,DJ Harper,Wankhede Stadium,0,9,Chennai Super Kings
57,Mumbai,2008-06-01,male,T20,YK Pathan,Chennai Super Kings,Rajasthan Royals,32.0,12.5,12.0,26.636363636363637,field,Rajasthan Royals,BF Bowden,RE Koertzen,Dr DY Patil Sports Academy,0,3,Rajasthan Royals
58,Cape Town,2009-04-18,male,T20,SR Tendulkar,Mumbai Indians,Chennai Super Kings,41.166666666666664,45.0,5.0,6.666666666666667,field,Chennai Super Kings,BR Doctrove,K Hariharan,Newlands,19,0,Mumbai Indians
59,Cape Town,2009-04-18,male,T20,R Dravid,Royal Challengers Bangalore,Rajasthan Royals,11.0,28.0,3.0,26.666666666666668,bat,Royal Challengers Bangalore,BR Doctrove,RB Tiffin,Newlands,75,0,Royal Challengers Bangalore
60,Cape Town,2009-04-19,male,T20,DL Vettori,Kings XI Punjab,Delhi Daredevils,19.571428571428573,17.0,37.0,24.0,field,Delhi Daredevils,MR Benson,SD Ranade,Newlands,0,10,Delhi Daredevils
61,Cape Town,2009-04-19,male,T20,RP Singh,Kolkata Knight Riders,Deccan Chargers,2.0,25.31578947368421,23.333333333333332,5.0,bat,Kolkata Knight Riders,MR Benson,BR Doctrove,Newlands,0,8,Deccan Chargers
62,Port Elizabeth,2009-04-20,male,T20,M Muralitharan,Chennai Super Kings,Royal Challengers Bangalore,30.75,27.818181818181817,30.466666666666665,23.923076923076923,bat,Chennai Super Kings,BG Jerling,SJA Taufel,St George's Park,92,0,Chennai Super Kings
63,Durban,2009-04-21,male,T20,CH Gayle,Kings XI Punjab,Kolkata Knight Riders,27.0,29.545454545454547,13.25,5.0,field,Kolkata Knight Riders,DJ Harper,SD Ranade,Kingsmead,11,0,Kolkata Knight Riders
64,Cape Town,2009-04-22,male,T20,AC Gilchrist,Deccan Chargers,Royal Challengers Bangalore,19.5,28.875,7.5,23.714285714285715,bat,Deccan Chargers,M Erasmus,AM Saheba,Newlands,24,0,Deccan Chargers
65,Durban,2009-04-23,male,T20,AB de Villiers,Delhi Daredevils,Chennai Super Kings,40.0,20.625,0.0,5.0,bat,Delhi Daredevils,BR Doctrove,SJA Taufel,Kingsmead,9,0,Delhi Daredevils
66,Cape Town,2009-04-23,male,T20,YK Pathan,Rajasthan Royals,Kolkata Knight Riders,5.0,17.5,7.0,14.333333333333334,field,Kolkata Knight Riders,MR Benson,M Erasmus,Newlands,0,0,tie
67,Durban,2009-04-24,male,T20,RS Bopara,Royal Challengers Bangalore,Kings XI Punjab,9.75,24.0,25.533333333333335,85.2,bat,Royal Challengers Bangalore,BR Doctrove,TH Wijewardene,Kingsmead,0,7,Kings XI Punjab
68,Durban,2009-04-25,male,T20,PP Ojha,Deccan Chargers,Mumbai Indians,18.0,7.333333333333333,8.75,22.91304347826087,bat,Deccan Chargers,HDPK Dharmasena,SJA Taufel,Kingsmead,12,0,Deccan Chargers
69,Port Elizabeth,2009-04-26,male,T20,TM Dilshan,Royal Challengers Bangalore,Delhi Daredevils,15.75,28.533333333333335,5.0,50.6,bat,Royal Challengers Bangalore,S Asnani,BG Jerling,St George's Park,0,6,Delhi Daredevils
70,Cape Town,2009-04-26,male,T20,KC Sangakkara,Kings XI Punjab,Rajasthan Royals,19.8,26.842105263157894,10.5,22.95,bat,Kings XI Punjab,M Erasmus,K Hariharan,Newlands,27,0,Kings XI Punjab
71,Durban,2009-04-27,male,T20,HH Gibbs,Chennai Super Kings,Deccan Chargers,33.5,23.291666666666668,5.0,21.823529411764707,field,Deccan Chargers,IL Howell,TH Wijewardene,Kingsmead,0,6,Deccan Chargers
72,Port Elizabeth,2009-04-27,male,T20,SR Tendulkar,Mumbai Indians,Kolkata Knight Riders,37.0,5.0,1.3333333333333333,6.111111111111111,bat,Mumbai Indians,BG Jerling,RB Tiffin,St George's Park,92,0,Mumbai Indians
73,Centurion,2009-04-28,male,T20,YK Pathan,Delhi Daredevils,Rajasthan Royals,1.5,16.166666666666668,32.94117647058823,110.0,bat,Delhi Daredevils,GAV Baxter,RE Koertzen,SuperSport Park,0,5,Rajasthan Royals
74,Durban,2009-04-29,male,T20,MV Boucher,Kolkata Knight Riders,Royal Challengers Bangalore,5.0,29.0,35.75,5.0,bat,Kolkata Knight Riders,MR Benson,TH Wijewardene,Kingsmead,0,5,Royal Challengers Bangalore
75,Durban,2009-04-29,male,T20,KC Sangakkara,Kings XI Punjab,Mumbai Indians,37.30769230769231,19.77777777777778,18.0,12.333333333333334,bat,Kings XI Punjab,MR Benson,SL Shastri,Kingsmead,3,0,Kings XI Punjab
76,Centurion,2009-04-30,male,T20,DP Nannes,Deccan Chargers,Delhi Daredevils,1.5,26.88888888888889,35.0,35.25,field,Delhi Daredevils,GAV Baxter,AM Saheba,SuperSport Park,0,6,Delhi Daredevils
77,Centurion,2009-04-30,male,T20,SK Raina,Chennai Super Kings,Rajasthan Royals,30.666666666666668,23.956521739130434,3.5,18.666666666666668,field,Rajasthan Royals,GAV Baxter,RE Koertzen,SuperSport Park,38,0,Chennai Super Kings
78,East London,2009-05-01,male,T20,JP Duminy,Mumbai Indians,Kolkata Knight Riders,61.666666666666664,31.416666666666668,31.333333333333332,20.4,bat,Mumbai Indians,M Erasmus,SK Tarapore,Buffalo Park,9,0,Mumbai Indians
79,Durban,2009-05-01,male,T20,Yuvraj Singh,Royal Challengers Bangalore,Kings XI Punjab,12.0,11.384615384615385,8.0,29.0,bat,Royal Challengers Bangalore,HDPK Dharmasena,S Ravi,Kingsmead,8,0,Royal Challengers Bangalore
80,Port Elizabeth,2009-05-02,male,T20,YK Pathan,Deccan Chargers,Rajasthan Royals,64.0,13.0,58.0,32.0,bat,Deccan Chargers,S Asnani,BG Jerling,St George's Park,0,3,Rajasthan Royals
81,Johannesburg,2009-05-02,male,T20,SB Jakati,Chennai Super Kings,Delhi Daredevils,1.5,25.5,12.0,19.904761904761905,field,Delhi Daredevils,DJ Harper,RE Koertzen,New Wanderers Stadium,18,0,Chennai Super Kings
