,city,date,gender,match_type,player of the match,team 1,team 2,toss_decision,toss_winner,umpire_1,umpire_2,venue,win_by_runs,win_by_wickets,winner
690,Durban,2011-10-28,male,ODI,SR Watson,South Africa,Australia,bat,South Africa,JD Cloete,IJ Gould,Kingsmead,0,3,Australia
691,Paarl,2012-01-11,male,ODI,M Morkel,South Africa,Sri Lanka,bat,South Africa,BR Doctrove,M Erasmus,Boland Park,258,0,South Africa
692,East London,2012-01-14,male,ODI,JP Duminy,South Africa,Sri Lanka,field,South Africa,BR Doctrove,S George,Buffalo Park,0,5,South Africa
693,Bloemfontein,2012-01-17,male,ODI,F du Plessis,South Africa,Sri Lanka,bat,Sri Lanka,JD Cloete,NJ Llong,Chevrolet Park,4,0,South Africa
694,Kimberley,2012-01-20,male,ODI,NLTC Perera,South Africa,Sri Lanka,bat,South Africa,JD Cloete,BR Doctrove,De Beers Diamond Oval,0,5,Sri Lanka
695,Johannesburg,2012-01-22,male,ODI,KC Sangakkara,South Africa,Sri Lanka,field,Sri Lanka,M Erasmus,NJ Llong,New Wanderers Stadium,0,2,Sri Lanka
696,,2011-08-10,male,ODI,MG Johnson,Sri Lanka,Australia,bat,Sri Lanka,EAR de Silva,AL Hill,Pallekele International Cricket Stadium,0,7,Australia
697,Hambantota,2011-08-14,male,ODI,RT Ponting,Sri Lanka,Australia,bat,Sri Lanka,AL Hill,RSA Palliyaguruge,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,8,Australia
698,Hambantota,2011-08-16,male,ODI,WU Tharanga,Sri Lanka,Australia,field,Australia,Asad Rauf,REJ Martinesz,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",78,0,Sri Lanka
699,Colombo,2011-08-20,male,ODI,XJ Doherty,Sri Lanka,Australia,bat,Sri Lanka,EAR de Silva,AL Hill,R Premadasa Stadium,0,5,Australia
700,Colombo,2011-08-22,male,ODI,SL Malinga,Sri Lanka,Australia,field,Sri Lanka,Asad Rauf,REJ Martinesz,R Premadasa Stadium,0,4,Sri Lanka
701,,2012-02-05,male,ODI,MS Wade,Australia,India,field,India,NJ Llong,BNJ Oxenford,Melbourne Cricket Ground,65,0,Australia
702,Perth,2012-02-08,male,ODI,R Ashwin,India,Sri Lanka,bat,Sri Lanka,NJ Llong,PR Reiffel,Western Australia Cricket Association Ground,0,4,India
703,Perth,2012-02-10,male,ODI,MJ Clarke,Australia,Sri Lanka,field,Sri Lanka,NJ Llong,BNJ Oxenford,Western Australia Cricket Association Ground,5,0,Australia
704,,2012-02-12,male,ODI,G Gambhir,Australia,India,bat,Australia,NJ Llong,PR Reiffel,Adelaide Oval,0,4,India
705,,2012-02-14,male,ODI,MS Dhoni,India,Sri Lanka,bat,Sri Lanka,SD Fry,NJ Llong,Adelaide Oval,0,0,tie
706,,2012-02-17,male,ODI,NLTC Perera,Australia,Sri Lanka,bat,Australia,BF Bowden,SD Fry,Sydney Cricket Ground,0,8,Sri Lanka
707,Brisbane,2012-02-19,male,ODI,BW Hilfenhaus,Australia,India,bat,Australia,BF Bowden,SJ Davis,"Brisbane Cricket Ground, Woolloongabba",110,0,Australia
708,Brisbane,2012-02-21,male,ODI,KMDN Kulasekara,India,Sri Lanka,bat,Sri Lanka,BF Bowden,PR Reiffel,"Brisbane Cricket Ground, Woolloongabba",51,0,Sri Lanka
709,Hobart,2012-02-24,male,ODI,DPMD Jayawardene,Australia,Sri Lanka,bat,Australia,BF Bowden,BNJ Oxenford,Bellerive Oval,0,3,Sri Lanka
710,,2012-02-26,male,ODI,DA Warner,Australia,India,bat,Australia,BF Bowden,SJA Taufel,Sydney Cricket Ground,87,0,Australia
711,Hobart,2012-02-28,male,ODI,V Kohli,India,Sri Lanka,field,India,Asad Rauf,SJA Taufel,Bellerive Oval,0,7,India
712,,2012-03-02,male,ODI,LD Chandimal,Australia,Sri Lanka,bat,Sri Lanka,Asad Rauf,RJ Tucker,Melbourne Cricket Ground,9,0,Sri Lanka
713,Brisbane,2012-03-04,male,ODI,DA Warner,Australia,Sri Lanka,bat,Australia,Asad Rauf,PR Reiffel,"Brisbane Cricket Ground, Woolloongabba",15,0,Australia
714,,2012-03-06,male,ODI,TM Dilshan,Australia,Sri Lanka,bat,Australia,Asad Rauf,BNJ Oxenford,Adelaide Oval,0,8,Sri Lanka
715,,2012-03-08,male,ODI,CJ McKay,Australia,Sri Lanka,field,Sri Lanka,Asad Rauf,BNJ Oxenford,Adelaide Oval,16,0,Australia
716,Dunedin,2012-02-03,male,ODI,MJ Guptill,New Zealand,Zimbabwe,field,Zimbabwe,Enamul Haque,CB Gaffaney,University Oval,90,0,New Zealand
717,Whangarei,2012-02-06,male,ODI,RJ Nicol,New Zealand,Zimbabwe,field,Zimbabwe,AL Hill,RJ Tucker,Cobham Oval (New),141,0,New Zealand
718,Napier,2012-02-09,male,ODI,BB McCullum,New Zealand,Zimbabwe,bat,New Zealand,GAV Baxter,Enamul Haque,McLean Park,202,0,New Zealand
719,Wellington,2012-02-25,male,ODI,AB de Villiers,New Zealand,South Africa,bat,New Zealand,CB Gaffaney,RK Illingworth,Westpac Stadium,0,6,South Africa
720,Napier,2012-02-29,male,ODI,M Morkel,New Zealand,South Africa,field,South Africa,Aleem Dar,GAV Baxter,McLean Park,0,6,South Africa
721,Auckland,2012-03-03,male,ODI,M de Lange,New Zealand,South Africa,field,South Africa,CB Gaffaney,RK Illingworth,Eden Park,0,5,South Africa
722,Hyderabad,2011-10-14,male,ODI,MS Dhoni,India,England,bat,India,BF Bowden,SK Tarapore,"Rajiv Gandhi International Stadium, Uppal",126,0,India
723,Delhi,2011-10-17,male,ODI,V Kohli,India,England,bat,England,BF Bowden,SK Tarapore,Feroz Shah Kotla,0,8,India
724,Chandigarh,2011-10-20,male,ODI,AM Rahane,India,England,bat,England,S Asnani,BF Bowden,"Punjab Cricket Association Stadium, Mohali",0,5,India
725,Mumbai,2011-10-23,male,ODI,SK Raina,India,England,bat,England,S Asnani,BF Bowden,Wankhede Stadium,0,6,India
726,Kolkata,2011-10-25,male,ODI,RA Jadeja,India,England,field,England,S Asnani,BF Bowden,Eden Gardens,95,0,India
727,,2011-08-12,male,ODI,BV Vitori,Zimbabwe,Bangladesh,field,Zimbabwe,HDPK Dharmasena,RB Tiffin,Harare Sports Club,0,4,Zimbabwe
728,,2011-08-14,male,ODI,BV Vitori,Zimbabwe,Bangladesh,field,Zimbabwe,HDPK Dharmasena,RB Tiffin,Harare Sports Club,0,7,Zimbabwe
729,,2011-08-16,male,ODI,Mushfiqur Rahim,Zimbabwe,Bangladesh,field,Bangladesh,HDPK Dharmasena,RB Tiffin,Harare Sports Club,5,0,Zimbabwe
730,Bulawayo,2011-08-19,male,ODI,Rubel Hossain,Zimbabwe,Bangladesh,field,Bangladesh,O Chirombe,HDPK Dharmasena,Queens Sports Club,0,6,Bangladesh
731,Bulawayo,2011-08-21,male,ODI,Shakib Al Hasan,Zimbabwe,Bangladesh,field,Zimbabwe,O Chirombe,HDPK Dharmasena,Queens Sports Club,93,0,Bangladesh
732,Bulawayo,2011-09-08,male,ODI,Younis Khan,Zimbabwe,Pakistan,bat,Pakistan,O Chirombe,IJ Gould,Queens Sports Club,5,0,Pakistan
733,,2011-09-11,male,ODI,Mohammad Hafeez,Zimbabwe,Pakistan,bat,Zimbabwe,IJ Gould,RB Tiffin,Harare Sports Club,0,10,Pakistan
734,,2011-09-14,male,ODI,Aizaz Cheema,Zimbabwe,Pakistan,field,Zimbabwe,IJ Gould,RB Tiffin,Harare Sports Club,28,0,Pakistan
735,Dublin,2011-09-19,male,ODI,,Ireland,Canada,field,Canada,NG Bagh,M Hawthorne,Clontarf Cricket Club Ground,133,0,Ireland
736,Dublin,2011-09-20,male,ODI,,Ireland,Canada,bat,Ireland,NG Bagh,M Hawthorne,Clontarf Cricket Club Ground,56,0,Ireland
737,,2011-10-20,male,ODI,RJ Nicol,Zimbabwe,New Zealand,bat,Zimbabwe,BNJ Oxenford,RB Tiffin,Harare Sports Club,0,9,New Zealand
738,,2011-10-22,male,ODI,MJ Guptill,Zimbabwe,New Zealand,field,New Zealand,O Chirombe,BNJ Oxenford,Harare Sports Club,0,4,New Zealand
739,Bulawayo,2011-10-25,male,ODI,MN Waller,Zimbabwe,New Zealand,bat,New Zealand,O Chirombe,BNJ Oxenford,Queens Sports Club,0,1,Zimbabwe
740,,2011-11-11,male,ODI,Shahid Afridi,Pakistan,Sri Lanka,bat,Sri Lanka,Ahsan Raza,M Erasmus,Dubai International Cricket Stadium,0,8,Pakistan
741,,2011-11-14,male,ODI,SL Malinga,Pakistan,Sri Lanka,bat,Sri Lanka,RK Illingworth,Zameer Haider,Dubai International Cricket Stadium,25,0,Sri Lanka
742,,2011-11-18,male,ODI,Mohammad Hafeez,Pakistan,Sri Lanka,bat,Pakistan,Ahsan Raza,M Erasmus,Dubai International Cricket Stadium,21,0,Pakistan
743,,2011-11-20,male,ODI,Shahid Afridi,Pakistan,Sri Lanka,bat,Pakistan,RK Illingworth,Zameer Haider,Sharjah Cricket Stadium,26,0,Pakistan
744,Abu Dhabi,2011-11-23,male,ODI,Umar Akmal,Pakistan,Sri Lanka,bat,Sri Lanka,Ahsan Raza,M Erasmus,Sheikh Zayed Stadium,0,3,Pakistan
745,Abu Dhabi,2012-02-13,male,ODI,AN Cook,England,Pakistan,bat,England,Ahsan Raza,SJA Taufel,Sheikh Zayed Stadium,130,0,England
746,Abu Dhabi,2012-02-15,male,ODI,AN Cook,England,Pakistan,bat,England,Aleem Dar,HDPK Dharmasena,Sheikh Zayed Stadium,20,0,England
747,,2012-02-18,male,ODI,KP Pietersen,England,Pakistan,bat,Pakistan,Aleem Dar,SJA Taufel,Dubai International Cricket Stadium,0,9,England
748,,2012-02-21,male,ODI,KP Pietersen,England,Pakistan,bat,Pakistan,HDPK Dharmasena,Zameer Haider,Dubai International Cricket Stadium,0,4,England
749,Mirpur,2011-10-13,male,ODI,LMP Simmons,Bangladesh,West Indies,field,Bangladesh,Enamul Haque,PR Reiffel,Shere Bangla National Stadium,40,0,West Indies
750,Mirpur,2011-10-15,male,ODI,MN Samuels,Bangladesh,West Indies,bat,Bangladesh,Nadir Shah,PR Reiffel,Shere Bangla National Stadium,0,8,West Indies
751,Chittagong,2011-10-18,male,ODI,Shakib Al Hasan,Bangladesh,West Indies,field,Bangladesh,Enamul Haque,PR Reiffel,Zahur Ahmed Chowdhury Stadium,0,8,Bangladesh
752,Southampton,2012-06-16,male,ODI,IR Bell,England,West Indies,field,West Indies,HDPK Dharmasena,RA Kettleborough,The Rose Bowl,114,0,England
753,London,2012-06-19,male,ODI,AN Cook,England,West Indies,field,England,RJ Bailey,AL Hill,Kennington Oval,0,8,England
754,Belfast,2012-06-23,male,ODI,,Ireland,Australia,field,Australia,M Hawthorne,RA Kettleborough,"Civil Service Cricket Club, Stormont",0,0,no result
755,London,2012-06-29,male,ODI,EJG Morgan,England,Australia,field,Australia,Aleem Dar,RA Kettleborough,Lord's,15,0,England
756,London,2012-07-01,male,ODI,RS Bopara,England,Australia,bat,Australia,M Erasmus,RK Illingworth,Kennington Oval,0,6,England
757,Chester-le-Street,2012-07-07,male,ODI,ST Finn,England,Australia,field,England,M Erasmus,NJ Llong,Riverside Ground,0,8,England
758,Manchester,2012-07-10,male,ODI,RS Bopara,England,Australia,field,England,Aleem Dar,IJ Gould,Old Trafford,0,7,England
759,Cardiff,2012-08-24,male,ODI,,England,South Africa,field,South Africa,HDPK Dharmasena,RA Kettleborough,Sophia Gardens,0,0,no result
760,Southampton,2012-08-28,male,ODI,HM Amla,England,South Africa,bat,South Africa,RJ Bailey,SJA Taufel,The Rose Bowl,80,0,South Africa
761,London,2012-08-31,male,ODI,EJG Morgan,England,South Africa,bat,South Africa,HDPK Dharmasena,RA Kettleborough,Kennington Oval,0,4,England
762,London,2012-09-02,male,ODI,IR Bell,England,South Africa,field,England,RK Illingworth,SJA Taufel,Lord's,0,6,England
763,Nottingham,2012-09-05,male,ODI,HM Amla,England,South Africa,bat,England,HDPK Dharmasena,RK Illingworth,Trent Bridge,0,7,South Africa
764,Mirpur,2012-03-11,male,ODI,Mohammad Hafeez,Bangladesh,Pakistan,field,Bangladesh,IJ Gould,PR Reiffel,Shere Bangla National Stadium,21,0,Pakistan
765,Mirpur,2012-03-13,male,ODI,V Kohli,India,Sri Lanka,field,Sri Lanka,SJ Davis,IJ Gould,Shere Bangla National Stadium,50,0,India
766,Mirpur,2012-03-15,male,ODI,Aizaz Cheema,Pakistan,Sri Lanka,bat,Sri Lanka,SJ Davis,PR Reiffel,Shere Bangla National Stadium,0,6,Pakistan
767,Mirpur,2012-03-16,male,ODI,Shakib Al Hasan,Bangladesh,India,field,Bangladesh,IJ Gould,PR Reiffel,Shere Bangla National Stadium,0,5,Bangladesh
768,Mirpur,2012-03-18,male,ODI,V Kohli,India,Pakistan,bat,Pakistan,SJ Davis,IJ Gould,Shere Bangla National Stadium,0,6,India
769,Mirpur,2012-03-20,male,ODI,Shakib Al Hasan,Bangladesh,Sri Lanka,field,Bangladesh,SJ Davis,PR Reiffel,Shere Bangla National Stadium,0,5,Bangladesh
770,Mirpur,2012-03-22,male,ODI,Shahid Afridi,Bangladesh,Pakistan,field,Bangladesh,SJ Davis,IJ Gould,Shere Bangla National Stadium,2,0,Pakistan
771,Cuttack,2011-11-29,male,ODI,RG Sharma,India,West Indies,field,India,AL Hill,SK Tarapore,Barabati Stadium,0,1,India
772,Visakhapatnam,2011-12-02,male,ODI,V Kohli,India,West Indies,field,India,AL Hill,S Ravi,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,5,India
773,Ahmedabad,2011-12-05,male,ODI,R Rampaul,India,West Indies,field,India,S Asnani,AL Hill,"Sardar Patel Stadium, Motera",16,0,West Indies
774,Indore,2011-12-08,male,ODI,V Sehwag,India,West Indies,bat,India,AL Hill,S Ravi,Holkar Cricket Stadium,153,0,India
775,Chennai,2011-12-11,male,ODI,MK Tiwary,India,West Indies,bat,India,S Asnani,AL Hill,"MA Chidambaram Stadium, Chepauk",34,0,India
776,Mirpur,2011-12-01,male,ODI,Shahid Afridi,Bangladesh,Pakistan,bat,Bangladesh,JD Cloete,Enamul Haque,Shere Bangla National Stadium,0,5,Pakistan
777,Mirpur,2011-12-03,male,ODI,Nasir Hossain,Bangladesh,Pakistan,bat,Pakistan,JD Cloete,Nadir Shah,Shere Bangla National Stadium,76,0,Pakistan
778,Chittagong,2011-12-06,male,ODI,Umar Akmal,Bangladesh,Pakistan,bat,Pakistan,JD Cloete,Enamul Haque,Zahur Ahmed Chowdhury Stadium,58,0,Pakistan
779,St Vincent,2012-03-16,male,ODI,GJ Bailey,West Indies,Australia,bat,Australia,HDPK Dharmasena,PJ Nero,"Arnos Vale Ground, Kingstown",64,0,Australia
780,St Vincent,2012-03-18,male,ODI,SP Narine,West Indies,Australia,field,West Indies,GO Brathwaite,SK Tarapore,"Arnos Vale Ground, Kingstown",0,5,West Indies
781,St Vincent,2012-03-20,male,ODI,MEK Hussey,West Indies,Australia,bat,Australia,HDPK Dharmasena,PJ Nero,"Arnos Vale Ground, Kingstown",0,0,tie
782,St Lucia,2012-03-23,male,ODI,KA Pollard,West Indies,Australia,field,Australia,GO Brathwaite,SK Tarapore,"Beausejour Stadium, Gros Islet",42,0,West Indies
783,St Lucia,2012-03-25,male,ODI,DJG Sammy,West Indies,Australia,field,West Indies,HDPK Dharmasena,PJ Nero,"Beausejour Stadium, Gros Islet",30,0,Australia
784,,2012-02-18,male,ODI,T Mishra,Kenya,Ireland,bat,Ireland,D Odhiambo,RB Tiffin,Mombasa Sports Club Ground,0,7,Kenya
785,,2012-02-20,male,ODI,EC Joyce,Kenya,Ireland,bat,Ireland,S George,RB Tiffin,Mombasa Sports Club Ground,117,0,Ireland
786,,2012-03-29,male,ODI,,Afghanistan,Netherlands,bat,Afghanistan,CB Gaffaney,Sarika Prasad,Sharjah Cricket Stadium,0,9,Netherlands
787,,2012-02-10,male,ODI,Shahid Afridi,Afghanistan,Pakistan,bat,Afghanistan,Shozab Raza,SJA Taufel,Sharjah Cricket Stadium,0,7,Pakistan
788,Dublin,2012-07-05,male,ODI,,Ireland,Afghanistan,field,Afghanistan,S George,RP Smith,Clontarf Cricket Club Ground,59,0,Ireland
789,Jamaica,2012-07-05,male,ODI,AD Russell,West Indies,New Zealand,field,West Indies,RA Kettleborough,PJ Nero,"Sabina Park, Kingston",0,9,West Indies
790,Jamaica,2012-07-07,male,ODI,MN Samuels,West Indies,New Zealand,field,New Zealand,GO Brathwaite,RK Illingworth,"Sabina Park, Kingston",55,0,West Indies
791,St Kitts,2012-07-11,male,ODI,RJ Nicol,West Indies,New Zealand,field,West Indies,RA Kettleborough,JS Wilson,"Warner Park, Basseterre",88,0,New Zealand
792,St Kitts,2012-07-14,male,ODI,SP Narine,West Indies,New Zealand,bat,West Indies,RK Illingworth,PJ Nero,"Warner Park, Basseterre",24,0,West Indies
793,St Kitts,2012-07-16,male,ODI,SP Narine,West Indies,New Zealand,bat,West Indies,RA Kettleborough,JS Wilson,"Warner Park, Basseterre",20,0,West Indies
794,,2012-06-07,male,ODI,Umar Gul,Sri Lanka,Pakistan,bat,Sri Lanka,REJ Martinesz,PR Reiffel,Pallekele International Cricket Stadium,0,6,Pakistan
795,,2012-06-09,male,ODI,NLTC Perera,Sri Lanka,Pakistan,bat,Sri Lanka,RSA Palliyaguruge,PR Reiffel,Pallekele International Cricket Stadium,76,0,Sri Lanka
796,Colombo,2012-06-13,male,ODI,,Sri Lanka,Pakistan,bat,Pakistan,EAR de Silva,PR Reiffel,R Premadasa Stadium,0,0,no result
797,Colombo,2012-06-16,male,ODI,NLTC Perera,Sri Lanka,Pakistan,bat,Sri Lanka,REJ Martinesz,PR Reiffel,R Premadasa Stadium,44,0,Sri Lanka
798,Colombo,2012-06-18,male,ODI,AD Mathews,Sri Lanka,Pakistan,bat,Pakistan,REJ Martinesz,PR Reiffel,R Premadasa Stadium,0,2,Sri Lanka
799,Hambantota,2012-07-21,male,ODI,V Kohli,Sri Lanka,India,bat,India,REJ Martinesz,BNJ Oxenford,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",21,0,India
800,Hambantota,2012-07-24,male,ODI,NLTC Perera,Sri Lanka,India,bat,India,BNJ Oxenford,RSA Palliyaguruge,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,9,Sri Lanka
801,Colombo,2012-07-28,male,ODI,SK Raina,Sri Lanka,India,bat,Sri Lanka,HDPK Dharmasena,BNJ Oxenford,R Premadasa Stadium,0,5,India
802,Colombo,2012-07-31,male,ODI,V Kohli,Sri Lanka,India,bat,Sri Lanka,HDPK Dharmasena,BNJ Oxenford,R Premadasa Stadium,0,6,India
803,,2012-08-04,male,ODI,IK Pathan,Sri Lanka,India,bat,India,BNJ Oxenford,TH Wijewardene,Pallekele International Cricket Stadium,20,0,India
804,Rajkot,2013-01-11,male,ODI,JC Tredwell,India,England,bat,England,SJ Davis,S Ravi,Saurashtra Cricket Association Stadium,9,0,England
805,Kochi,2013-01-15,male,ODI,RA Jadeja,India,England,bat,India,SJ Davis,VA Kulkarni,Nehru Stadium,127,0,India
806,Ranchi,2013-01-19,male,ODI,V Kohli,India,England,field,India,SJ Davis,S Ravi,JSCA International Stadium Complex,0,7,India
807,Chandigarh,2013-01-23,male,ODI,SK Raina,India,England,field,India,S Asnani,SJ Davis,"Punjab Cricket Association Stadium, Mohali",0,5,India
808,Dharamsala,2013-01-27,male,ODI,IR Bell,India,England,field,England,S Asnani,SJ Davis,Himachal Pradesh Cricket Association Stadium,0,7,England
809,London,2013-05-31,male,ODI,MJ Guptill,England,New Zealand,field,New Zealand,Aleem Dar,RK Illingworth,Lord's,0,5,New Zealand
810,Southampton,2013-06-02,male,ODI,MJ Guptill,England,New Zealand,bat,New Zealand,RJ Bailey,SJ Davis,The Rose Bowl,86,0,New Zealand
811,Nottingham,2013-06-05,male,ODI,JC Buttler,England,New Zealand,field,New Zealand,Aleem Dar,RT Robinson,Trent Bridge,34,0,England
812,Dublin,2013-09-03,male,ODI,EJG Morgan,Ireland,England,field,England,M Hawthorne,RSA Palliyaguruge,"The Village, Malahide",0,6,England
813,Manchester,2013-09-08,male,ODI,MJ Clarke,England,Australia,field,England,RA Kettleborough,S Ravi,Old Trafford,88,0,Australia
814,Birmingham,2013-09-11,male,ODI,,England,Australia,field,Australia,Aleem Dar,MA Gough,Edgbaston,0,0,no result
815,Cardiff,2013-09-14,male,ODI,JC Buttler,England,Australia,field,England,RJ Bailey,S Ravi,Sophia Gardens,0,3,England
816,Southampton,2013-09-16,male,ODI,SR Watson,England,Australia,bat,Australia,Aleem Dar,RJ Bailey,The Rose Bowl,49,0,Australia
817,London,2013-06-19,male,ODI,JC Tredwell,England,South Africa,field,England,HDPK Dharmasena,RJ Tucker,Kennington Oval,0,7,England
818,Cardiff,2013-06-20,male,ODI,I Sharma,India,Sri Lanka,field,India,Aleem Dar,RA Kettleborough,Sophia Gardens,0,8,India
819,Birmingham,2013-06-23,male,ODI,RA Jadeja,England,India,field,England,HDPK Dharmasena,RJ Tucker,Edgbaston,5,0,India
820,Paarl,2013-01-19,male,ODI,JEC Franklin,South Africa,New Zealand,field,New Zealand,Enamul Haque,S George,Boland Park,0,1,New Zealand
821,Kimberley,2013-01-22,male,ODI,KS Williamson,South Africa,New Zealand,field,South Africa,Aleem Dar,JD Cloete,De Beers Diamond Oval,27,0,New Zealand
822,Potchefstroom,2013-01-25,male,ODI,GC Smith,South Africa,New Zealand,bat,New Zealand,Enamul Haque,AT Holdstock,Senwes Park,0,1,South Africa
823,Bloemfontein,2013-03-10,male,ODI,CA Ingram,South Africa,Pakistan,field,Pakistan,JD Cloete,HDPK Dharmasena,Chevrolet Park,125,0,South Africa
824,Centurion,2013-03-15,male,ODI,Mohammad Irfan,South Africa,Pakistan,bat,South Africa,BF Bowden,AT Holdstock,SuperSport Park,0,6,Pakistan
825,Johannesburg,2013-03-17,male,ODI,HM Amla,South Africa,Pakistan,field,Pakistan,BF Bowden,S George,New Wanderers Stadium,34,0,South Africa
826,Durban,2013-03-21,male,ODI,Misbah-ul-Haq,South Africa,Pakistan,bat,South Africa,HDPK Dharmasena,S George,Kingsmead,0,3,Pakistan
827,Benoni,2013-03-24,male,ODI,AB de Villiers,South Africa,Pakistan,bat,Pakistan,BF Bowden,JD Cloete,Willowmoore Park,0,6,South Africa
828,Hamilton,2013-02-17,male,ODI,BB McCullum,New Zealand,England,field,New Zealand,GAV Baxter,S Ravi,Seddon Park,0,3,New Zealand
829,Napier,2013-02-20,male,ODI,,New Zealand,England,field,England,CB Gaffaney,RJ Tucker,McLean Park,0,8,England
830,Auckland,2013-02-23,male,ODI,,New Zealand,England,field,England,CB Gaffaney,S Ravi,Eden Park,0,5,England
831,,2012-08-28,male,ODI,MA Starc,Australia,Pakistan,bat,Pakistan,BF Bowden,Zameer Haider,Sharjah Cricket Stadium,0,4,Australia
832,Abu Dhabi,2012-08-31,male,ODI,Nasir Jamshed,Australia,Pakistan,bat,Australia,Ahsan Raza,NJ Llong,Sheikh Zayed Stadium,0,7,Pakistan
833,,2012-09-03,male,ODI,MEK Hussey,Australia,Pakistan,field,Australia,Ahsan Raza,BF Bowden,Sharjah Cricket Stadium,0,3,Australia
834,,2012-08-25,male,ODI,MA Starc,Afghanistan,Australia,bat,Australia,BF Bowden,Shozab Raza,Sharjah Cricket Association Stadium,66,0,Australia
835,,2013-01-11,male,ODI,PJ Hughes,Australia,Sri Lanka,bat,Australia,RA Kettleborough,PR Reiffel,Melbourne Cricket Ground,107,0,Australia
836,,2013-01-13,male,ODI,HDRL Thirimanne,Australia,Sri Lanka,field,Sri Lanka,M Erasmus,SD Fry,Adelaide Oval,0,8,Sri Lanka
837,Brisbane,2013-01-18,male,ODI,KMDN Kulasekara,Australia,Sri Lanka,bat,Australia,RA Kettleborough,PR Reiffel,"Brisbane Cricket Ground, Woolloongabba",0,4,Sri Lanka
838,,2013-01-20,male,ODI,,Australia,Sri Lanka,bat,Australia,M Erasmus,PR Reiffel,Sydney Cricket Ground,0,0,no result
839,Hobart,2013-01-23,male,ODI,PJ Hughes,Australia,Sri Lanka,field,Sri Lanka,SD Fry,RA Kettleborough,Bellerive Oval,32,0,Australia
840,Perth,2013-02-01,male,ODI,MA Starc,Australia,West Indies,bat,West Indies,Asad Rauf,PR Reiffel,Western Australia Cricket Association Ground,0,9,Australia
841,Perth,2013-02-03,male,ODI,GJ Bailey,Australia,West Indies,field,West Indies,NJ Llong,PR Reiffel,Western Australia Cricket Association Ground,54,0,Australia
842,Canberra,2013-02-06,male,ODI,SR Watson,Australia,West Indies,bat,Australia,Asad Rauf,SD Fry,Manuka Oval,39,0,Australia
843,,2013-02-08,male,ODI,KA Pollard,Australia,West Indies,bat,West Indies,SD Fry,NJ Llong,Sydney Cricket Ground,0,5,Australia
844,,2013-02-10,male,ODI,AC Voges,Australia,West Indies,field,West Indies,Asad Rauf,PR Reiffel,Melbourne Cricket Ground,17,0,Australia
845,Cardiff,2013-06-06,male,ODI,S Dhawan,India,South Africa,field,South Africa,IJ Gould,BNJ Oxenford,Sophia Gardens,26,0,India
846,London,2013-06-07,male,ODI,KAJ Roach,Pakistan,West Indies,field,West Indies,SJ Davis,NJ Llong,Kennington Oval,0,2,West Indies
847,Birmingham,2013-06-08,male,ODI,IR Bell,England,Australia,bat,England,HDPK Dharmasena,M Erasmus,Edgbaston,48,0,England
848,Cardiff,2013-06-09,male,ODI,NL McCullum,New Zealand,Sri Lanka,bat,Sri Lanka,BNJ Oxenford,RJ Tucker,Sophia Gardens,0,1,New Zealand
849,Birmingham,2013-06-10,male,ODI,HM Amla,Pakistan,South Africa,bat,South Africa,BF Bowden,RA Kettleborough,Edgbaston,67,0,South Africa
850,London,2013-06-11,male,ODI,RA Jadeja,India,West Indies,field,India,Aleem Dar,AL Hill,Kennington Oval,0,8,India
851,Birmingham,2013-06-12,male,ODI,,Australia,New Zealand,bat,Australia,HDPK Dharmasena,NJ Llong,Edgbaston,0,0,no result
852,London,2013-06-13,male,ODI,KC Sangakkara,England,Sri Lanka,field,Sri Lanka,Aleem Dar,BF Bowden,Kennington Oval,0,7,Sri Lanka
853,Cardiff,2013-06-14,male,ODI,CA Ingram,South Africa,West Indies,field,West Indies,SJ Davis,RJ Tucker,Sophia Gardens,0,0,tie
854,Birmingham,2013-06-15,male,ODI,B Kumar,India,Pakistan,field,India,IJ Gould,RA Kettleborough,Edgbaston,0,8,India
855,Cardiff,2013-06-16,male,ODI,AN Cook,England,New Zealand,field,New Zealand,BNJ Oxenford,RJ Tucker,Sophia Gardens,10,0,England
856,London,2013-06-17,male,ODI,DPMD Jayawardene,Australia,Sri Lanka,field,Australia,M Erasmus,AL Hill,Kennington Oval,20,0,Sri Lanka
857,,2012-11-04,male,ODI,SL Malinga,Sri Lanka,New Zealand,bat,New Zealand,HDPK Dharmasena,IJ Gould,Pallekele International Cricket Stadium,14,0,Sri Lanka
858,,2012-11-06,male,ODI,TM Dilshan,Sri Lanka,New Zealand,field,Sri Lanka,HDPK Dharmasena,IJ Gould,Pallekele International Cricket Stadium,0,7,Sri Lanka
859,Hambantota,2012-11-10,male,ODI,BMAJ Mendis,Sri Lanka,New Zealand,field,Sri Lanka,IJ Gould,RSA Palliyaguruge,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,7,Sri Lanka
860,Hambantota,2012-11-12,male,ODI,,Sri Lanka,New Zealand,field,New Zealand,IJ Gould,TH Wijewardene,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,0,no result
