,city,date,gender,match_type,player of the match,team 1,team 2,toss_decision,toss_winner,umpire_1,umpire_2,venue,win_by_runs,win_by_wickets,winner
600,Belfast,2010-07-16,male,ODI,Shafiul Islam,Ireland,Bangladesh,bat,Ireland,HDPK Dharmasena,NA Malcolm,"Civil Service Cricket Club, Stormont",0,6,Bangladesh
601,Amstelveen,2010-07-07,male,ODI,KJ O'Brien,Canada,Ireland,bat,Canada,NA Malcolm,IN Ramage,VRA Ground,0,5,Ireland
602,Ayr,2010-08-16,male,ODI,,Scotland,Afghanistan,bat,Scotland,EAR de Silva,IN Ramage,Cambusdoon New Ground,0,9,Afghanistan
603,Ayr,2010-08-17,male,ODI,,Scotland,Afghanistan,bat,Afghanistan,EAR de Silva,IN Ramage,Cambusdoon New Ground,0,6,Scotland
604,Bulawayo,2010-05-28,male,ODI,BRM Taylor,Zimbabwe,India,bat,India,BG Jerling,RB Tiffin,Queens Sports Club,0,6,Zimbabwe
605,Bulawayo,2010-05-30,male,ODI,RG Sharma,India,Sri Lanka,field,India,BG Jerling,RB Tiffin,Queens Sports Club,0,7,India
606,Bulawayo,2010-06-01,male,ODI,S Randiv,Zimbabwe,Sri Lanka,field,Sri Lanka,O Chirombe,RE Koertzen,Queens Sports Club,0,9,Sri Lanka
607,,2010-06-03,male,ODI,BRM Taylor,Zimbabwe,India,field,Zimbabwe,O Chirombe,RE Koertzen,Harare Sports Club,0,7,Zimbabwe
608,,2010-06-05,male,ODI,LD Chandimal,India,Sri Lanka,field,Sri Lanka,RE Koertzen,RB Tiffin,Harare Sports Club,0,6,Sri Lanka
609,,2010-06-07,male,ODI,BRM Taylor,Zimbabwe,Sri Lanka,field,Zimbabwe,RE Koertzen,RB Tiffin,Harare Sports Club,0,8,Zimbabwe
610,,2010-06-09,male,ODI,TM Dilshan,Zimbabwe,Sri Lanka,field,Sri Lanka,RE Koertzen,RB Tiffin,Harare Sports Club,0,9,Sri Lanka
611,,2010-06-15,male,ODI,Shahid Afridi,Sri Lanka,Pakistan,bat,Sri Lanka,BF Bowden,BR Doctrove,Rangiri Dambulla International Stadium,16,0,Sri Lanka
612,,2010-06-16,male,ODI,G Gambhir,Bangladesh,India,bat,Bangladesh,BR Doctrove,BNJ Oxenford,Rangiri Dambulla International Stadium,0,6,India
613,,2010-06-18,male,ODI,TM Dilshan,Sri Lanka,Bangladesh,bat,Sri Lanka,BF Bowden,BNJ Oxenford,Rangiri Dambulla International Stadium,126,0,Sri Lanka
614,,2010-06-19,male,ODI,G Gambhir,India,Pakistan,bat,Pakistan,BF Bowden,BR Doctrove,Rangiri Dambulla International Stadium,0,3,India
615,,2010-06-21,male,ODI,Shahid Afridi,Bangladesh,Pakistan,bat,Pakistan,BR Doctrove,BNJ Oxenford,Rangiri Dambulla International Stadium,139,0,Pakistan
616,,2010-06-22,male,ODI,MF Maharoof,Sri Lanka,India,field,Sri Lanka,BF Bowden,BNJ Oxenford,Rangiri Dambulla International Stadium,0,7,Sri Lanka
617,,2010-06-24,male,ODI,KD Karthik,Sri Lanka,India,bat,India,BF Bowden,BR Doctrove,Rangiri Dambulla International Stadium,81,0,India
618,,2010-08-10,male,ODI,LRPL Taylor,India,New Zealand,bat,New Zealand,REJ Martinesz,SJA Taufel,Rangiri Dambulla International Stadium,200,0,New Zealand
619,,2010-08-16,male,ODI,V Sehwag,Sri Lanka,India,bat,Sri Lanka,Asad Rauf,REJ Martinesz,Rangiri Dambulla International Stadium,0,6,India
620,,2010-08-13,male,ODI,WU Tharanga,Sri Lanka,New Zealand,bat,New Zealand,HDPK Dharmasena,SJA Taufel,Rangiri Dambulla International Stadium,0,3,Sri Lanka
621,,2010-08-25,male,ODI,V Sehwag,India,New Zealand,bat,India,Asad Rauf,EAR de Silva,Rangiri Dambulla International Stadium,105,0,India
622,,2010-08-22,male,ODI,NLTC Perera,Sri Lanka,India,bat,India,Asad Rauf,HDPK Dharmasena,Rangiri Dambulla International Stadium,0,8,Sri Lanka
